query,url
Rotten Tomatoes American Beauty 1999,https://www.rottentomatoes.com/m/american_beauty
Rotten Tomatoes Mrs Miniver 1942,https://www.rottentomatoes.com/m/mrs_miniver
Rotten Tomatoes From Here to Eternity 1953,https://www.rottentomatoes.com/m/1007931-from_here_to_eternity
Rotten Tomatoes One Flew Over the Cuckoos Nest 1975,https://www.rottentomatoes.com/m/one_flew_over_the_cuckoos_nest
Rotten Tomatoes On the Waterfront 1954,https://www.rottentomatoes.com/m/on_the_waterfront
Rotten Tomatoes Gandhi 1982,https://www.rottentomatoes.com/m/gandhi
Rotten Tomatoes It Happened One Night 1934,https://www.rottentomatoes.com/m/it_happened_one_night
Rotten Tomatoes Gone with the Wind 1939,https://www.rottentomatoes.com/m/gone_with_the_wind
Rotten Tomatoes The Bridge on the River Kwai 1957,https://www.rottentomatoes.com/m/bridge_on_the_river_kwai
Rotten Tomatoes The Silence of the Lambs 1991,https://www.rottentomatoes.com/m/silence_of_the_lambs
Rotten Tomatoes The Apartment 1960,https://www.rottentomatoes.com/m/1001115-apartment
Rotten Tomatoes Patton 1970,https://www.rottentomatoes.com/m/patton
Rotten Tomatoes Annie Hall 1977,https://www.rottentomatoes.com/m/annie_hall
Rotten Tomatoes Rain Man 1988,https://www.rottentomatoes.com/m/rain_man
Rotten Tomatoes The Kings Speech 2010,https://www.rottentomatoes.com/m/the_kings_speech
Rotten Tomatoes The Lost Weekend 1945,https://www.rottentomatoes.com/m/lost_weekend
Rotten Tomatoes All About Eve 1950,https://www.rottentomatoes.com/m/1000626-all_about_eve
Rotten Tomatoes Marty 1955,https://www.rottentomatoes.com/m/1013427-marty
Rotten Tomatoes A Man for All Seasons 1966,https://www.rottentomatoes.com/m/1013162-man_for_all_seasons
Rotten Tomatoes The French Connection 1971,https://www.rottentomatoes.com/m/french_connection
Rotten Tomatoes Kramer vs Kramer 1979,https://www.rottentomatoes.com/m/kramer_vs_kramer
Rotten Tomatoes Amadeus 1984,https://www.rottentomatoes.com/m/amadeus
Rotten Tomatoes Out of Africa 1985,https://www.rottentomatoes.com/m/out_of_africa
Rotten Tomatoes Dances with Wolves 1990,https://www.rottentomatoes.com/m/dances_with_wolves
Rotten Tomatoes Schindlers List 1993,https://www.rottentomatoes.com/m/schindlers_list
Rotten Tomatoes Forrest Gump 1994,https://www.rottentomatoes.com/m/forrest_gump
Rotten Tomatoes The English Patient 1996,https://www.rottentomatoes.com/m/english_patient
Rotten Tomatoes Oppenheimer 2023,https://www.rottentomatoes.com/m/oppenheimer_2023
Rotten Tomatoes A Star Is Born 1937,https://www.rottentomatoes.com/m/1019828-star_is_born
Rotten Tomatoes Here Comes Mr Jordan 1941,https://www.rottentomatoes.com/m/here_comes_mr_jordan
Rotten Tomatoes Roman Holiday 1953,https://www.rottentomatoes.com/m/roman_holiday
Rotten Tomatoes Network 1976,https://www.rottentomatoes.com/m/network
Rotten Tomatoes On Golden Pond 1981,https://www.rottentomatoes.com/m/on_golden_pond
Rotten Tomatoes La La Land 2016,https://www.rottentomatoes.com/m/la_la_land
Rotten Tomatoes A Place in the Sun 1951,https://www.rottentomatoes.com/m/place_in_the_sun
Rotten Tomatoes The Life of Emile Zola 1937,https://www.rottentomatoes.com/m/life_of_emile_zola
Rotten Tomatoes Shakespeare in Love 1998,https://www.rottentomatoes.com/m/shakespeare_in_love
Rotten Tomatoes Cimarron 1931,https://en.wikipedia.org/wiki/Cimarron_(1931_film)
Rotten Tomatoes Rebecca 1940,https://www.rottentomatoes.com/m/1017293-rebecca
Rotten Tomatoes The Sting 1973,https://www.rottentomatoes.com/m/1020130-sting
Rotten Tomatoes The Hurt Locker 2009,https://www.rottentomatoes.com/m/the_hurt_locker
Rotten Tomatoes The Artist 2011,https://www.rottentomatoes.com/m/the_artist
Rotten Tomatoes Everything Everywhere All at Once 2022,https://www.rottentomatoes.com/m/everything_everywhere_all_at_once
Rotten Tomatoes Anora 2024,https://www.rottentomatoes.com/m/anora
Rotten Tomatoes Casablanca 1943,https://www.rottentomatoes.com/m/1003707-casablanca
Rotten Tomatoes The Best Years of Our Lives 1946,https://www.rottentomatoes.com/m/best_years_of_our_lives
Rotten Tomatoes BenHur 1959,https://www.rottentomatoes.com/m/benhur
Rotten Tomatoes My Fair Lady 1964,https://www.rottentomatoes.com/m/my_fair_lady
Rotten Tomatoes Midnight Cowboy 1969,https://www.rottentomatoes.com/m/midnight_cowboy
Rotten Tomatoes Terms of Endearment 1983,https://www.rottentomatoes.com/m/terms_of_endearment
Rotten Tomatoes The Last Emperor 1987,https://www.rottentomatoes.com/m/last_emperor
Rotten Tomatoes Million Dollar Baby 2004,https://www.rottentomatoes.com/m/million_dollar_baby
Rotten Tomatoes Slumdog Millionaire 2008,https://www.rottentomatoes.com/m/slumdog_millionaire
